Target,AFLGo,Beacon,DAFL,DAFL_naive
libming-4.7-swftophp-2016-9827,342,7,7,7
libming-4.7-swftophp-2016-9829,331,9,7,7
libming-4.7-swftophp-2016-9831,337,10,7,7
libming-4.7-swftophp-2017-9988,334,12,7,7
libming-4.7-swftophp-2017-11728,345,7,7,7
libming-4.7-swftophp-2017-11729,345,14,7,7
libming-4.7.1-swftophp-2017-7578,338,10,7,7
libming-4.8-swftophp-2018-7868,345,7,8,8
libming-4.8-swftophp-2018-8807,350,8,8,8
libming-4.8-swftophp-2018-8962,349,8,8,8
libming-4.8-swftophp-2018-11095,347,14,8,8
libming-4.8-swftophp-2018-11225,350,8,8,8
libming-4.8-swftophp-2018-11226,350,8,8,8
libming-4.8-swftophp-2018-20427,349,7,8,8
libming-4.8-swftophp-2019-12982,349,8,8,8
libming-4.8-swftophp-2020-6628,349,8,8,8
libming-4.8.1-swftophp-2019-9114,352,8,7,8
lrzip-9de7ccb-lrzip-2017-8846,172,45,5,6
lrzip-ed51e14-lrzip-2018-11496,173,44,4,4
binutils-2.26-cxxfilt-2016-4487,205,2676,16,17
binutils-2.26-cxxfilt-2016-4489,203,4633,17,19
binutils-2.26-cxxfilt-2016-4490,205,3900,16,17
binutils-2.26-cxxfilt-2016-4491,207,4348,16,17
binutils-2.26-cxxfilt-2016-4492,208,4355,17,19
binutils-2.26-cxxfilt-2016-6131,210,3125,16,17
binutils-2.27-strip-2017-7303,3566,3899,58,62
binutils-2.28-objcopy-2017-8393,1655,4773,172,285
binutils-2.28-objcopy-2017-8394,1647,4685,192,318
binutils-2.28-objcopy-2017-8395,1665,4595,252,635
binutils-2.28-objdump-2017-8392,1816,6968,255,421
binutils-2.28-objdump-2017-8396,1807,7416,262,517
binutils-2.28-objdump-2017-8397,1796,10424,261,516
binutils-2.28-objdump-2017-8398,1806,8859,428,1270
binutils-2.31.1-objdump-2018-17360,3306,5518,284,474
binutils-2.29-nm-2017-14940,3434,4162,53,750
binutils-2.29-readelf-2017-16828,537,66,15,24
libxml2-2.9.4-xmllint-2017-5969,2163,1037,987,20089
libxml2-2.9.4-xmllint-2017-9047,2166,1070,7049,12169
libxml2-2.9.4-xmllint-2017-9048,2169,1021,983,1033
libjpeg-1.5.90-cjpeg-2018-14498,242,1,3,3
libjpeg-2.0.4-cjpeg-2020-13790,239,1,3,3
